ID da Venda,Cancelado,Nome do Produto,Valor do Produto,Quantidade Vendida,Nome do Vendedor,CPF do Comprador,Data da Venda,Informações Adicionais
1,False,"['Computador', 'Rádio']","[334.027139874739, 6.784968684759916]","[1, 3]",Thiago,86862580930,28/07/2023,Alpha
2,False,['TV'],[77.1294363256785],[2],Sérgio,83863459008,27/07/2023,Bravo
3,True,['Microondas'],[24.008350730688935],[1],Isadora,37278409004,15/05/2023,Charlie
4,False,['Computador'],[580.5636743215032],[2],Isadora,39371842016,16/06/2023,Delta
5,True,['TV'],[112.062630480167],[1],Thiago,37278409004,11/12/2022,Echo
6,False,"['Microondas', 'TV']","[24.008350730688935, 77.1294363256785]","[2, 3]",Sérgio,86862580930,13/07/2023,
7,False,['Ventilador'],[13.012526096033403],[4],Isadora,83863459008,14/02/2023,Golf
8,True,"['Lâmpada', 'Pilhas']","[3.2922755741127347, 0.6263048016701461]","[6, 20]",Isadora,37278409004,15/02/2023,Hotel
9,True,['Rádio'],[6.784968684759916],[1],Sérgio,39371842016,16/12/2022,
10,False,"['TV', 'Rádio', 'Pilhas']","[77.1294363256785, 16.49060542797495, 0.6263048016701461]","[2, 3, 7]",Thiago,37278409004,17/11/2022,Juliet
11,False,['Pilhas'],[2.085594989561587],[32],Thiago,86862580930,28/07/2023,
12,False,['Computador'],[325.6764091858038],[1],Sérgio,83863459008,27/07/2023,Mike
13,False,"['Impressora', 'TV']","[66.80584551148226, 77.1294363256785]","[1, 2]",Isadora,37278409004,15/05/2023,
14,True,['Impressora'],[93.94572025052192],[5],Isadora,39371842016,16/06/2023,Oscar
15,False,['Ventilador'],[27.11899791231733],[3],Thiago,37278409004,11/12/2022,Papa
16,True,['Rádio'],[7.494780793319415],[1],Sérgio,86862580930,13/07/2023,Quebec
17,False,"['Microondas', 'Ventilador']","[35.010438413361165, 10.645093945720252]","[4, 5]",Isadora,83863459008,14/02/2023,Romeo
18,False,['TV'],[540.5970772442589],[3],Isadora,37278409004,15/02/2023,Sierra
19,False,"['Impressora', 'Ventilador', 'Pilhas', 'Radio']","[49.19624217118998, 25.542797494780793, 0.9394572025052192, 6.263048016701461]","[4, 1, 7, 2]",Sérgio,39371842016,16/12/2022,Tango
20,True,['Computador'],[208.7661795407098],[2],Thiago,37278409004,17/11/2022,
21,True,['TV'],[417.53444676409185],[1],Thiago,12345678900,12/08/2023,Inclusao Simples
22,False,"['Rádio', 'Pilhas']","[6.784968684759916, 0.6242171189979123]","[2, 15]",Isadora,14725836900,11/04/2023,Inclusão Multipla
